Title,URL
"Long Island City, NY Industrial for Lease - 2890 Review Ave",https://www.loopnet.com/Listing/2890-Review-Ave-Long-Island-City-NY/32982052/
"Coppell, TX Flex, Industrial for Lease - 850 Northlake Dr",https://www.loopnet.com/Listing/850-Northlake-Dr-Coppell-TX/24410961/
"Alexandria, VA Industrial for Lease - 6304 Gravel Ave",https://www.loopnet.com/Listing/6304-Gravel-Ave-Alexandria-VA/31976740/
"Jamaica, NY Industrial for Lease - 153-44 S Conduit Ave",https://www.loopnet.com/Listing/153-44-S-Conduit-Ave-Jamaica-NY/33313143/
"Brooklyn, NY Flex, Industrial for Lease - 4014 First Ave",https://www.loopnet.com/Listing/4014-First-Ave-Brooklyn-NY/28529428/
"Queens, NY Industrial for Lease - 28-10 Whitestone Expy",https://www.loopnet.com/Listing/28-10-Whitestone-Expy-Queens-NY/33039771/
"Rancho Cordova, CA Industrial for Lease - 10765 N Mather Blvd",https://www.loopnet.com/Listing/10765-N-Mather-Blvd-Rancho-Cordova-CA/24492538/
"Melville, NY Industrial for Lease - 235 Pinelawn Rd",https://www.loopnet.com/Listing/235-Pinelawn-Rd-Melville-NY/27479429/
"Newark, NJ Industrial for Lease - 397-447 Ferry St",https://www.loopnet.com/Listing/397-447-Ferry-St-Newark-NJ/17878012/
"Jamaica, NY Industrial for Lease - 184-10-184-60 Jamaica Ave",https://www.loopnet.com/Listing/184-10-184-60-Jamaica-Ave-Jamaica-NY/14689356/
"Bay Shore, NY Industrial for Lease - 55 Paradise Ln",https://www.loopnet.com/Listing/55-Paradise-Ln-Bay-Shore-NY/31523911/
"Clearwater, FL Flex, Industrial for Lease - 13190 56th Ct",https://www.loopnet.com/Listing/13190-56th-Ct-Clearwater-FL/31664457/
"Reno, NV Industrial for Lease - 13000 Moya Blvd",https://www.loopnet.com/Listing/13000-Moya-Blvd-Reno-NV/29156892/
"Reno, NV Industrial for Lease - 13005 Moya Blvd",https://www.loopnet.com/Listing/13005-Moya-Blvd-Reno-NV/29156237/
"Fairfield, CA Industrial for Lease - Cordelia Rd",https://www.loopnet.com/Listing/Cordelia-Rd-Fairfield-CA/21932693/
"Gaithersburg, MD Industrial for Lease - 750 Progress Way",https://www.loopnet.com/Listing/750-Progress-Way-Gaithersburg-MD/31391243/
"Frederick, MD Multiple Space Uses for Lease - 4931 Executive Ct S",https://www.loopnet.com/Listing/4931-Executive-Ct-S-Frederick-MD/20493320/
"Frederick, MD Industrial for Lease - 4420 Buckeystown Pike",https://www.loopnet.com/Listing/4420-Buckeystown-Pike-Frederick-MD/29520077/
"Fort Myers, FL Industrial for Lease - 16500 Oriole Rd",https://www.loopnet.com/Listing/16500-Oriole-Rd-Fort-Myers-FL/26005748/
"San Antonio, TX Industrial for Lease - 5930-6010 Eisenhauer Rd",https://www.loopnet.com/Listing/5930-6010-Eisenhauer-Rd-San-Antonio-TX/22320243/
"Tampa, FL Industrial for Lease - 5806 N 53rd St",https://www.loopnet.com/Listing/5806-N-53rd-St-Tampa-FL/33332834/
"Miami, FL Industrial for Lease - 7950-7966 NW 14th St",https://www.loopnet.com/Listing/7950-7966-NW-14th-St-Miami-FL/28508791/
"Woodbury, NY Industrial for Lease - 1 Media Crossways",https://www.loopnet.com/Listing/1-Media-Crossways-Woodbury-NY/26148649/
"City Of Industry, CA Industrial for Lease - 3619-3735 San Gabriel River Pky",https://www.loopnet.com/Listing/3619-3735-San-Gabriel-River-Pky-City-Of-Industry-CA/13350431/
